object_identifier	identifier	file_format	file_function	size	HEX(f.digest)	revision_number	last_fixity_check
amjewess:taj1895.0001.001	05a5649d-0c9a-abfc-817d-d2ccc9e1cfab/descriptor/05a5649d-0c9a-abfc-817d-d2ccc9e1cfab.types:monograph.mets2.xml	application/xml	function:descriptor	4552	B08436E512FEA6C8BA3F5B356B9968D348ACF3B9A97F32582A23101C772C8683	1	2025-08-25 14:54:39.637439
amjewess:taj1895.0001.001	05a5649d-0c9a-abfc-817d-d2ccc9e1cfab/metadata/05a5649d-0c9a-abfc-817d-d2ccc9e1cfab.function:event.json	application/xml	function:event	2728	D805F484DC9F6CCEE815F5F99AFE3C2013FE177002264C736192D30A38587591	1	2025-08-25 14:54:39.638476
amjewess:taj1895.0001.001	05a5649d-0c9a-abfc-817d-d2ccc9e1cfab/metadata/05a5649d-0c9a-abfc-817d-d2ccc9e1cfab.function:provenance.json	application/xml	function:provenance	7993	BD2C816707521EA74E4FEE8BC60D7A76F08EC845860395DB515E4FA4E6F1518D	1	2025-08-25 14:54:39.638758
amjewess:taj1895.0001.001	05a5649d-0c9a-abfc-817d-d2ccc9e1cfab/metadata/05a5649d-0c9a-abfc-817d-d2ccc9e1cfab.function:service.json	application/json	function:service	4311	81429AE14D2AA059060B29E2832966C20F614F7EE0702582A0227469B59C8736	1	2025-08-25 14:54:39.638284
amjewess:taj1895.0001.001	05a5649d-0c9a-abfc-817d-d2ccc9e1cfab/metadata/05a5649d-0c9a-abfc-817d-d2ccc9e1cfab.function:source.json	application/json	function:source	6468	6269BCEF835DAFAA408E1E17A4AA76166850AEB9CEEACB404DCD05A3411F3DD7	1	2025-08-25 14:54:39.638048
amjewess:taj1895.0001.001:00000001	9e6b412d-d606-7aa2-4c76-6a298dbfba34/data/00000001.function:source.format:image.tif	image/tiff	function:source	1382	9DA098ECEC81C3A4DC3CFCBC7D1DDCA23B6B15A4B22A9EAEED4806FF5F84F4C8	1	2025-08-25 14:54:39.640086
amjewess:taj1895.0001.001:00000001	9e6b412d-d606-7aa2-4c76-6a298dbfba34/descriptor/9e6b412d-d606-7aa2-4c76-6a298dbfba34.types:fileset.mets2.xml	application/xml	function:descriptor	989	650BEACD61EE1AD6341A39ACE8BC74705670FF8956F5384966E9DD6D689B1E25	1	2025-08-25 14:54:39.640028
amjewess:taj1895.0001.001:00000001	9e6b412d-d606-7aa2-4c76-6a298dbfba34/metadata/00000001.function:source.format:image.function:event.premis.xml	application/xml	function:event	7420	A41A7BE518AD5C11FD7E64BC633B95DFB5772867499AB83F64CC5112C5DCC744	1	2025-08-25 14:54:39.640161
amjewess:taj1895.0001.001:00000001	9e6b412d-d606-7aa2-4c76-6a298dbfba34/metadata/00000001.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	2353	89AFAA53B77F804C1BA84657EB38CEA7078424C25E0F0C777A1BE7D9EAF145CF	1	2025-08-25 14:54:39.640123
amjewess:taj1895.0001.001:00000002	14f82330-69c7-c476-676c-67e66b43e1c7/data/00000002.function:source.format:image.tif	image/tiff	function:source	2598	6377A4FA3F97126BAFE01A26439DA53722F676AE94C91E8105493D3E149C806A	1	2025-08-25 14:54:39.640871
