bin_identifier	identifier	parent_identifiers	type	revision_number
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003		types:monograph	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000001	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000002	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000003	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000004	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000005	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000006	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000007	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000008	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000009	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000010	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000011	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000012	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000013	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000014	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000015	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000016	amjewess:taj1895.0009.003	types:fileset	1
